date,value
2016-06-30,97.30403151065762
2016-07-31,97.25236805363421
2016-08-31,97.20223630196121
2016-09-30,97.15365756803035
2016-10-31,97.10665257658519
2016-11-30,97.061241456879
2016-12-31,97.01744373505802
2017-01-31,96.97527832677304
2017-02-28,96.93476353002173
2017-03-31,96.895917018225
2017-04-30,96.85875583353945
2017-05-31,96.8232963804087
2017-06-30,96.78955441935629
2017-07-31,96.75754506102182
2017-08-31,96.72728276044336
2017-09-30,96.69878131158774
2017-10-31,96.672053842131
2017-11-30,96.64711280849113
2017-12-31,96.62396999111446
2018-01-31,96.60263649001826
2018-02-28,96.5831227205904
2018-03-31,96.56543840964842
2018-04-30,96.54959259175888
2018-05-31,96.5355936058188
2018-06-30,96.52344909190032
2018-07-31,96.51316598835967
2018-08-31,96.5047505292119
2018-09-30,96.49820824177186
2018-10-31,96.49354394456279
2018-11-30,96.49076174549296
2018-12-31,96.48986504030137
2019-01-31,96.49085651127271
2019-02-28,96.49373812622255
2019-03-31,96.49851113775263
2019-04-30,96.50517608277688
2019-05-31,96.5137327823184
2019-06-30,96.52418034157695
2019-07-31,96.53651715026777
2019-08-31,96.55074088323072
2019-09-30,96.56684850131019
2019-10-31,96.5848362525051
2019-11-30,96.60469967338855
2019-12-31,96.62643359079681
2020-01-31,96.65003212378679
2020-02-29,96.6754886858613
2020-03-31,96.70279598746133
2020-04-30,96.7319460387244
2020-05-31,96.76293015250782
2020-06-30,96.7957389476758
2020-07-31,96.83036235264926
2020-08-31,96.86678960921677
2020-09-30,96.90500927660536
2020-10-31,96.94500923580966
2020-11-30,96.98677669417756
2020-12-31,97.0302981902509
2021-01-31,97.07555959885912
2021-02-28,97.12254613646408
2021-03-31,97.1712423667541
2021-04-30,97.22163220648487
2021-05-31,97.27369893156522
2021-06-30,97.32742518338534
2021-07-31,97.38279297538519
2021-08-31,97.43978369986036
2021-09-30,97.49837813500315
2021-10-31,97.55855645217592
2021-11-30,97.620298223414
2021-12-31,97.68358242915555
2022-01-31,97.74838746619511
2022-02-28,97.81469115585806
2022-03-31,97.88247075239288
2022-04-30,97.95170295157791
2022-05-31,98.02236389953947
2022-06-30,98.09442920177794
2022-07-31,98.16787393239848
2022-08-31,98.24267264354266
2022-09-30,98.31879937501785
2022-10-31,98.39622766412016
2022-11-30,98.47493055564784
2022-12-31,98.55488061210086
2023-01-31,98.6360499240629
2023-02-28,98.71841012076219
2023-03-31,98.80193238080666
2023-04-30,98.88658744308975
2023-05-31,98.9723456178625
2023-06-30,99.05917679796794
2023-07-31,99.14705047023335
2023-08-31,99.23593572701617
2023-09-30,99.3258012778992
2023-10-31,99.41661546153058
2023-11-30,99.50834625760426
2023-12-31,99.60096129897603
2024-01-31,99.69442788391116
2024-02-29,99.78871298845827
2024-03-31,99.88378327894546
2024-04-30,99.97960512459333
2024-05-31,100.0761446102407
2024-06-30,100.17336754917771
2024-07-31,100.27123949608185
2024-08-31,100.36972576005165
2024-09-30,100.46879141773356
2024-10-31,100.56840132653652
2024-11-30,100.66852013792968
2024-12-31,100.76911231081789
2025-01-31,100.87014212499025
2025-02-28,100.97157369463623
2025-03-31,101.0733709819246
2025-04-30,101.17549781063974
2025-05-31,101.27791787987053
2025-06-30,101.3805947777462
2025-07-31,101.48349199521428
2025-08-31,101.58657293985532
2025-09-30,101.68980094972913
2025-10-31,101.79313930724734
2025-11-30,101.896551253067
2025-12-31,102.0
